event_kind,t_ms,screen_x_pt,screen_y_pt,within_keyboard_frame,keyboard_x_pt,keyboard_y_pt,keyboard_width_pt,keyboard_height_pt,detail
"touch_down","1425.4756666487083","28.666666666666664","618.3333333333333","true","0.0","539.0","402.0","335.0","UIRemoteKeyboardWindow"
"text_change","1566.251541604288","","","","0.0","539.0","402.0","335.0","Q"
"touch_down","1958.9006665628403","67.0","615.6666666666666","true","0.0","539.0","402.0","335.0","UIRemoteKeyboardWindow"
"text_change","2036.385125014931","","","","0.0","539.0","402.0","335.0","Qw"
"touch_down","2125.5926665617153","99.33333333333333","622.0","true","0.0","539.0","402.0","335.0","UIRemoteKeyboardWindow"
"text_change","2202.2770832991228","","","","0.0","539.0","402.0","335.0","Qwe"
"touch_down","20803.739666589536","365.66666666666663","698.3333333333333","true","0.0","539.0","402.0","335.0","UIRemoteKeyboardWindow"
"text_change","20859.619458322413","","","","0.0","539.0","402.0","335.0","Qw"
"touch_down","22045.614666538313","378.3333333333333","724.3333333333333","true","0.0","539.0","402.0","335.0","UIRemoteKeyboardWindow"
"text_change","22141.19308325462","","","","0.0","539.0","402.0","335.0","Q"
"touch_down","22462.35166664701","373.66666666666663","721.6666666666666","true","0.0","539.0","402.0","335.0","UIRemoteKeyboardWindow"
"text_change","22540.71408335585","","","","0.0","539.0","402.0","335.0",""
"touch_down","27663.22666662745","229.33333333333331","855.3333333333333","true","0.0","539.0","402.0","335.0","UIRemoteKeyboardWindow"
