# Adaptive Keyboard deterministic language model
# model_identifier=symspell-en-30k-c239062
# symspell_commit=c239062ae02961df18ab7da1671d01b4388204e0
# symspell_blob=3682dedea3400a7f3ff34d521844c9c0c427ed74
# source_sha256=c604e1121e398ae7c7fbf777f11e0a0f2fa66eda932cb9fba1321466cf3acd7b
# unigram_count=30000
# explicit_correction_count=5
# W<TAB>corpus_count<TAB>word
W	23135851162	the
W	13151942776	of
W	12997637966	and
W	12136980858	to
W	9081174698	a
W	8469404971	in
W	5933321709	for
W	4705743816	is
W	3750423199	on
W	3400031103	that
W	3350048871	by
W	3228469771	this
W	3183110675	with
W	3086225277	i
W	2996181025	you
W	2813163874	it
W	2633487141	not
W	2590739907	or
W	2398724162	be
W	2393614870	are
W	2275595356	from
W	2272272772	at
W	2247431740	as
W	2062066547	your
W	2022459848	all
W	1564202750	have
W	1551258643	new
W	1544771673	more
W	1518266684	an
W	1483428678	was
W	1390661912	we
W	1356293641	will
W	1276852170	home
W	1242323499	can
W	1229112622	us
W	1226734006	about
W	1134987907	if
W	1082121730	page
W	1059793441	my
W	1046319984	has
W	1024093118	search
W	1014107316	free
W	999899654	but
W	998757982	our
W	993536631	one
W	978481319	other
W	950751722	do
W	937112320	no
W	932594387	information
W	908705570	time
W	883223816	they
W	844310242	site
W	842847219	he
W	829969374	up
W	827822032	may
W	812395582	what
W	810514085	which
W	782849411	their
W	755424983	news
W	741601852	out
W	719980257	use
W	710741293	any
W	701170205	there
W	681410380	see
W	661844114	only
W	661809559	so
W	660177731	his
W	650621178	when
W	645824184	contact
W	639711198	here
W	637134177	business
W	630927278	who
W	619571575	web
W	616829742	also
W	611387736	now
W	611054034	help
W	605984508	get
W	604577485	pm
W	602279334	view
W	601317059	online
W	578161543	first
W	576436203	am
W	575019382	been
W	572644147	would
W	571848080	how
W	570699558	were
W	566617666	me
W	562206804	services
W	548829454	some
W	541003982	these
W	536746424	click
W	525627757	its
W	520585287	like
W	519537222	service
W	502609275	than
W	502043038	find
W	501651226	price
W	488967374	date
W	488024109	back
W	484213771	top
W	480303376	people
W	480232730	had
W	472590641	list
W	464532702	name
W	462836169	just
W	459222855	over
W	453104133	state
W	451092583	year
W	446236148	day
W	445315294	into
W	443949646	email
W	441398439	two
W	440416431	health
W	431934249	world
W	430847564	re
W	425903347	next
W	421438139	used
W	421086358	go
W	419483948	work
W	417601616	last
W	416210411	most
W	414377632	products
W	414028837	music
W	410780176	buy
W	406908328	data
W	405084642	make
W	403000411	them
W	402028056	should
W	399116355	product
W	396975018	system
W	392956436	post
W	391961061	her
W	390564835	city
W	387231739	add
W	384401868	policy
W	383787805	number
W	380725892	such
W	380046348	please
W	379644437	available
W	373906735	copyright
W	373512569	support
W	373081242	message
W	372948094	after
W	371852748	best
W	370517038	software
W	369928941	then
W	366436194	jan
W	365796396	good
W	365410017	video
W	362082755	well
W	360468339	where
W	352363058	info
W	352051342	rights
W	349286123	public
W	347710184	books
W	345413157	high
W	343057316	school
W	342373303	through
W	340892856	each
W	339926541	links
W	339171382	she
W	339067778	review
W	337841309	years
W	336631187	order
W	334923368	very
W	333272427	privacy
W	330959949	book
W	330505325	items
W	324272258	company
W	322331766	read
W	321842984	group
W	320105999	sex
W	319376932	need
W	318966441	many
W	316446229	user
W	315595259	said
W	314593284	de
W	314018806	does
W	313469591	set
W	313296421	under
W	311757793	general
W	311538382	research
W	311373936	university
W	310345867	january
W	310337185	mail
W	309929179	full
W	309676581	map
W	307684103	reviews
W	306686983	program
W	306559205	life
W	306100813	know
W	305930896	games
W	305515604	way
W	305147791	days
W	304201237	management
W	302729303	part
W	302311431	could
W	301487430	great
W	299280163	united
W	297974790	hotel
W	297674493	real
W	296534935	item
W	295639201	international
W	293178760	ebay
W	292774716	must
W	291308910	store
W	287719294	travel
W	287558448	comments
W	287353021	made
W	286291411	development
W	286237372	report
W	284035693	off
W	283858893	member
W	280827841	details
W	280009597	line
W	277705910	terms
W	277546019	before
W	275510917	hotels
W	275369513	did
